Name,Country,Position,Club,League,Overall,Price In Coins,Games Played,Goals,Assistance,Yellow Card,Red Card,Card Type
Thiago Silva,Brazil,CB,PSG,League 1,95,178000,11,0,0,1,0,TOTS
Di Maria,Argentina,CF,PSG,League 1,95,95000,9,3,1,0,0,TOTS
Donnarumma,Italy,GK,Milan,Serie A,95,0,84,0,0,0,0,TOTS WL
Chiellini,Italy,CB,Juventus,Serie A,95,254000,70,0,1,1,0,TOTS
Verrati,Italy,CM,PSG,League 1,94,54000,9,0,0,0,0,TOTS
Bernardo Silva,Portugal,CM,Manchester City,Premier League,94,0,43,10,5,1,0,TOTS
Joao Cancelo,Portugal,RB,Juventus,Serie A,94,0,44,0,0,2,0,TOTS
Alex Telles,Brazil,LB,Porto, Liga NOS,93,0,164,3,17,1,0,TOTS WL
Roberto Firmino,Brazil,CF,Liverpol,Premier League,93,0,44,22,13,0,0,Flashback
Kimpenbe,France,CB,PSG,League 1,92,0,1,0,0,0,0,FUTTIES Winner
Neymar Jr,Brazil,LW,PSG,League 1,92,123000,50,19,9,3,0,Gold
Cavani,Uruguay,CF,PSG,League 1,92,57500,7,3,2,0,0,UCL Road to Final
Lozano,Mexico,RW,PSV,Eredivisie,92,0,35,13,7,2,0,FUTTIES Winner
Neto,Brazil,GK,Barcelona,La Liga,91,0,3,0,0,0,0,FUTTIES Winner
Allan,Brazil,CM,Napoli,Serie A,91,369000,58,2,3,1,0,TOTS
Dani Alves,Brazil,RB,PSG,League 1,90,0,48,0,2,0,0,Flashback
De Rossi,Italy,CDM,Roma,Serie A,90,0,314,23,54,19,0,Flashback
Rafa,Portugal,LW,Benfica,Liga NOS,90,0,100,17,18,3,0,TOTS
Dybala,Argentina,CAM,Juventus,Serie A,90,379000,258,82,51,9,0,UCL Tornament
Mbappe,France,RW,PSG,League 1,89,172000,7,0,0,0,0,UCL
David Luiz,Brazil,CB,Chelsea,Premier League,89,0,48,1,0,1,1,Flashback
Willian,Brazil,CAM,Chelsea,Premier League,88,0,229,57,49,5,1,FUT Aniversary
Fabinho,Brazil,CM,Liverpol,Premier League,86,90000,39,0,2,2,0,TOTW
Chiesa,Italy,RW,Fiorentina,Serie A,91,248000,52,12,11,2,0,TOTS
Douglas Costa,Brazil,LW,Juventus,Serie A,89,301000,419,102,100,16,0,UCL Road to Final
Hamsik,Slovakia,MC,Napoli,Serie A,88,150000,227,47,36,10,1,UEFA Euro Road to Final
Suso,Spain,RW,Milan,Serie A,88,128000,222,88,43,2,1,FUT 19 Orange
Gomez,Argentina,ST,Atalanta,Serie A,86,0,265,105,38,7,0,FUTMAS
Jose Callejon,Spain,RW,Napoli,Serie A,86,0,140,29,25,2,0,FUTMAS
Baluta,Romania,RW,Slavia Praga,Ceska Liga,85,0,151,26,17,5,0,UEFA Euro Road to Final
Lukaku,Belgium,LW,Lazio,Serie A,81,0,36,6,6,1,0,FUTMAS
Piatek,Poland,CF,Milan,Serie A,91,230000,32,31,0,0,0,TOTS

